sites_ID;Class;Order;Family;Subfamily;Tribe;Genus;Species;Species Authors;;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Forsterinaria;Forsterinaria_pronophila;(A. Butler, 1867);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Godartiana;Godartiana_muscosa;(A. Butler, 1870);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Hermeuptychia;Hermeuptychia_hermes;(Fabricius, 1775);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Carminda;Carminda_paeon;(Godart, [1824]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Carminda;Carminda_griseldis;(Weymer, 1911);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Praepedaliodes;Praepedaliodes_phanias;(Hewitson, 1862);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Satyrini;Eteona;Eteona_tisiphone;(Boisduval, 1836);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_demophon;(Linnaeus, 1758);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_demophoon;(H�bner, [1814]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;(H�bner, [1823]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Preponini;Prepona;Prepona_laertes;(H�bner, [1811]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Anaeini;Consul;Consul_fabius;(Cramer, 1776);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Anaeini;Zaretis;Zaretis_strigosus;(Gmelin, [1790]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Charaxinae;Anaeini;Memphis;Memphis_moruus;(Fabricius, 1775);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Biblidini;Biblis;Biblis_hyperia;(Cramer, 1779);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Eubagini;Dynamine;Dynamine_postverta;(Cramer, 1779);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Eubagini;Dynamine;Dynamine_agacles;(Dalman, 1823);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Eubagini;Dynamine;Dynamine_myrrhina;(E. Doubleday, 1849);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Eubagini;Dynamine;Dynamine_tithia;(H�bner, 1823);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Catonephelini;Catonephele;Catonephele_numilia;(Cramer, 1775);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Catonephelini;Catonephele;Catonephele_sabrina;(Hewitson, 1852);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Ageroniini;Hamadryas;Hamadryas_amphinome;(Linnaeus, 1767);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Ageroniini;Hamadryas;Hamadryas_epinome;(C. Felder & R. Felder, 1867);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Ageroniini;Hamadryas;Hamadryas_februa;(H�bner, [1823]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Biblidinae;New tribe;Eunica;Eunica_eburnea;Fruhstorfer, 1907;;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Epiphilini;Temenis;Temenis_laothoe;(Cramer, 1777);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Epiphilini;Epiphile;Epiphile_orea;(H�bner, [1823]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Callicorini;Haematera;Haematera_pyrame;(H�bner, [1819]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Callicorini;Diaethria;Diaethria_clymena;(Cramer, 1775);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Callicorini;Diaethria;Diaethria_candrena;(Godart, [1824]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Biblidinae;Callicorini;Paulogramma;Paulogramma_pygas;(Godart, [1824]);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Nymphalinae;Coeini;Colobura;Colobura_dirce;(Linnaeus, 1758);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Nymphalinae;Coeini;Historis;Historis_odius;(Fabricius, 1775);;;;;;;
bor1001;Insecta;Lepidoptera;Nymphalidae;Nymphalinae;Coeini;Historis;Historis_acheronta;(Fabricius, 1775);;;;;;;
